Organization Name,Organization Name URL,Growth Category,Postal Code,Full Description,Actively Hiring,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Investments,Founders,IPO Status,CB Rank (Organization),CB Rank (School),Last Funding Date,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Industry Groups,Investment Stage,Headquarters Regions,Website,LinkedIn,Contact Email,Number of Employees
SongPush,https://www.crunchbase.com/organization/songpush,,10963,"Our platform SongPush seamlessly connects the music industry with the influencer industry by enabling viral music promotion campaigns on all relevant social media platforms.  Artists or record labels provide their music on the platform and can directly place it into the content of influencers. This can be a placement into a livestream on Twitch/YouTube or starting a TikTok challenge with hundreds of influencers at once.  Our precise matching engine based on genres, subgenres, moods & language enables artists or record labels to find the right influencers for promoting their music. On the other side, influencers get paid to place the music into their content and can therefore easily monetize their reach. Music is also way easier to integrate into content than regular product placements. At the same time, SongPush is cutting out the tiring process of inefficient back and forth negotiations via mail. Both parties involved profit from our fast and easy deal making process. Our data-driven platform analyzes all relevant campaign data to gain long-term insights about which music works best with which influencer and audience. For each successful cooperation between artist & influencer, SongPush charges a commission fee of ~25%. We envision SongPush as the global interface for placing music on social media and make it the leading platform for music marketing.  Why are we doing it? Our goal is to ideally match the world’s music to the right listeners and enable it to create meaningful connections.",,"Music, Social Media Marketing","Berlin, Berlin, Germany",Our platform seamlessly connects music (artists/labels) with social media (creators/agencies).,"49,159",2021-08-11,day,,"Markus Cremer, Stefan Kling",Private,"50,469",,2024-08-16,1,Seed,2940000,EUR,3243261,Seed,2940000,EUR,3243261,2940000,EUR,3243261,Seed,2940000,EUR,3243261,,,"Media and Entertainment, Music and Audio, Sales and Marketing",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.songpush.com,https://www.linkedin.com/company/songpush,info@songpush.com,1-10
Photoncycle,https://www.crunchbase.com/organization/photoncycle,,0343,"Photoncycle aims to change the way electricity is generated, stored, consumed and paid for. Our mission is to deploy space-effective, autonomous energy systems powered by the sun, enabled by innovative technology, affordable for many.",,"Energy, Energy Storage, Renewable Energy, Semiconductor, Solar","Oslo, Oslo, Norway",Renewable Energy Semiconductor Manufacturing,"49,160",2020-01-01,year,,,Private,"50,448",,2024-04-02,1,Seed,5000000,EUR,5384090,Seed,5000000,EUR,5384090,5000000,EUR,5384090,Seed,5000000,EUR,5384090,"Lifeline Ventures, Luminar Ventures, Eviny Ventures, Momentum Partners",4,"Energy, Hardware, Natural Resources, Science and Engineering, Sustainability",,"Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",https://www.photoncycle.com,https://www.linkedin.com/company/photoncycle/,info@photoncycle.com,11-50
Matera,https://www.crunchbase.com/organization/matera-6f54,,,Matera rewards authors for participating on their preferred social media sites.,,"Content, Internet, Social Media","London, England, United Kingdom",Matera rewards authors for participating on their preferred social media sites.,"49,227",1933-01-01,year,,,Private,"50,538",,2024-05-01,1,Seed,3600000,USD,3600000,Seed,3600000,USD,3600000,3600000,USD,3600000,Seed,3600000,USD,3600000,"The Sandbox, Side Door Ventures, Saxon Partners, High Class Crypto, Medusa Ventures",5,"Internet Services, Media and Entertainment",,"Europe, Middle East, and Africa (EMEA)",https://matera.club,https://www.linkedin.com/company/matera-protocol,,11-50
Innerspace,https://www.crunchbase.com/organization/innerspace-gmbh,,6020,"Innerspace develops novel, psychologically based training solutions for critical applications in the life science industry. Cleanroom operators are prepared for the key moments of their work using an risk-based education approach, implemented in virtual reality. With regular practice in virtual space, they can deepen their behaviour patterns and their understanding of production in critical areas of activity.",,"Pharmaceutical, Software","Innsbruck, Tirol, Austria",Cleanroom personnel learn through the experiences made in Virtual Reality.,"49,358",2017-01-01,year,,"Andreas Berger, Walter Ischia",Private,"50,652",,2024-02-01,5,Seed,5700000,EUR,6198394,Seed,6700000,EUR,7282244,5700000,EUR,6198394,Seed,6700000,EUR,7282244,"HTGF | High-Tech Gruenderfonds, Riverside Acceleration Capital, Matterwave Ventures, aws Gründungsfonds, MAD Ventures GmbH",5,"Health Care, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.innerspace.eu/,https://www.linkedin.com/company/vrinnerspace/,info@innerspace.eu,11-50
Freja,https://www.crunchbase.com/organization/freja-c14b,,EC2R 5AR,"Freja natural Norwegian bone broth is packed with taste and essential mood and health-boosting nutrients, helping you to live well and eat pleasantly.",,"Food and Beverage, Nutrition","London, England, United Kingdom",Freja natural Norwegian bone broth is packed with taste and essential mood and health-boosting nutrients.,"49,361",2020-01-01,year,,,Private,"50,674",,2024-01-15,1,Seed,2000000,GBP,2543119,Seed,2000000,GBP,2543119,2000000,GBP,2543119,Seed,2000000,GBP,2543119,"SyndicateRoom, Active Partners, Founders Capital, Mint Ventures, Paul Polman",10,"Food and Beverage, Health Care",,"Europe, Middle East, and Africa (EMEA)",https://frejafoods.com,https://www.linkedin.com/company/frejafoods,,1-10
Froots,https://www.crunchbase.com/organization/froots-66ee,,1010,"Froots.io is an online wealth manager that helps people to afford things that are considered for the lucky few. Whether one aspires an early retirement or a top education for their children, froots helps them to achieve their long-term financial objectives by tailoring a goal based .",,"Asset Management, Financial Services, FinTech, Wealth Management","Vienna, Wien, Austria","Wealth-management, Fintech, Froots is an online wealth manager that helps their clients to obtain long-term financial freedom.","49,817",2020-06-23,day,,"David Mayer-Heinisch, Dirk van Wassenaer",Private,"51,129",,2024-06-18,5,Seed,2500000,EUR,2681494,Seed,6850000,EUR,7459501,2500000,EUR,2681494,Seed,5800000,EUR,6329630,"Matteo Thun, Farid Sigari Madj, Greyhound Capital, Alan Morgan, Big Cheese Ventures",14,Financial Services,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.froots.io/,https://at.linkedin.com/company/froots-io,office@froots.io,11-50
Captain T Cell,https://www.crunchbase.com/organization/captain-t-cell,Growing,,Captain T Cell is a start-up project that develops T cell-based immunotherapies for cancer patients. The company identifies novel high-efficiency TCRs for the development of T cell immunotherapies. It focuses on CMC- and preclinical development for their lead candidates.,,"Health Care, Therapeutics, Wellness","Berlin, Berlin, Germany",Captain T Cell is a start-up project that develops T cell-based immunotherapies for cancer patients.,"49,824",2019-01-01,year,,,Private,"51,136",,2024-05-22,1,Seed,8500000,EUR,9200897,Seed,8500000,EUR,9200897,8500000,EUR,9200897,Seed,8500000,EUR,9200897,"Brandenburg Kapital, Hil-Invent, i&i Biotech Fund",3,Health Care,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.captaintcell.com/,,,11-50
Ambient,https://www.crunchbase.com/organization/ambient-c296,,WC2H 9JQ,"Ambient is a decentralized environmental monitoring startup that uses its extensive sensor network to provide real-time, actionable environmental data.",,Analytics,"London, England, United Kingdom",Ambient is a decentralized environmental monitoring startup.,"49,868",2024-01-01,year,,,Private,"51,188",,2024-05-07,1,Seed,2000000,USD,2000000,Seed,2000000,USD,2000000,2000000,USD,2000000,Seed,2000000,USD,2000000,"Borderless Capital, Solana Ventures, Primal Capital, Sonic Boom Ventures, Parami Investors",5,Data and Analytics,,"Europe, Middle East, and Africa (EMEA)",https://ambient.network,https://www.linkedin.com/company/ambientnetwork,,1-10
Tacalyx,https://www.crunchbase.com/organization/tacalyx,,13353,"Tacalyx, a spin-off from Max-Planck-Institute of Colloids and Interfaces, Potsdam/Germany (MPICI), focuses on Tumor-Associated Carbohydrate Antigens (TACAs) as novel target class for cancer treatment. The highly tumor-specific expression of TACAs results from aberrant glycosylation and promotes metastasis, angiogenesis and suppression of the immune system. Tacalyx uses the sophisticated technology of carbohydrate synthesis to synthesize highly pure TACA structures for the generation and identification of antibodies that will be developed into novel therapeutics for the treatment of cancer.",,"Biotechnology, Health Care, Life Science, Therapeutics","Berlin, Berlin, Germany",Tacalyx is a biotech company focused on the discovery and development of novel anti-TACA,"49,986",2019-01-01,year,,Peter Sondermann,Private,"51,306",,2024-06-11,2,Seed,7000000,EUR,7538636,Seed,14000000,EUR,15204585,7000000,EUR,7538636,Seed,14000000,EUR,15204585,"HTGF | High-Tech Gruenderfonds, Boehringer Ingelheim Venture Fund, Kurma Partners, Thuja Capital, coparion",7,"Biotechnology, Health Care, Science and Engineering",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.tacalyx.com/,https://www.linkedin.com/company/tacalyx,info@tacalyx.com,1-10
HutanBio,https://www.crunchbase.com/organization/hutanbio,Growing,,"HutanBio is a biotechnology firm that delivers an HBx bio-oil, which is a sustainable and scalable high energy density, low carbon, sulfur-free fuel.",,"Biotechnology, Sustainability, Transportation","Huntingdon, Cambridgeshire, United Kingdom",HutanBio is a biotechnology firm that delivers an HBx bio-oil.,"50,068",2019-01-01,year,,,Private,"51,393",,2024-01-18,1,Seed,3000000,GBP,3813781,Seed,3000000,GBP,3813781,3000000,GBP,3813781,Seed,3000000,GBP,3813781,"UK Innovation & Science Seed Fund, Clean Growth Fund",2,"Biotechnology, Science and Engineering, Sustainability, Transportation",,"Europe, Middle East, and Africa (EMEA)",https://hutanbio.com,https://www.linkedin.com/company/hutanbio,,1-10
Grinds 360,https://www.crunchbase.com/organization/grinds-360,,18,Grinds 360 operates as a hybrid learning platform. Grinds 360 uses a proven hybrid learning approach which elevates traditional classroom grinds using the latest cutting edge technology.,,"EdTech, Secondary Education","Sandyford, Dublin, Ireland",Grinds 360 operates as a hybrid learning platform.,"50,088",2023-01-01,year,,Ronan Murdock,Private,"51,401",,2024-08-12,1,Seed,3200000,EUR,3495919,Seed,3200000,EUR,3495919,3200000,EUR,3495919,Seed,3200000,EUR,3495919,"Stephen Langan, Shane Glynn, Jordan Larmour, Caelan Doris, Sean Cunningham",7,"Education, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://grinds360.ie/,https://www.linkedin.com/company/grinds360/,,11-50
Wellola,https://www.crunchbase.com/organization/wellola,Growing,,"Wellola connects clinics & their own clients, anywhere, anytime. It is designed for the forward-thinking healthcare professional. Our cloud-based platform offers secure video-consultation software combined with simple payment/practice management facilities.",,"Health Care, Information Technology, Payments, Software","Dublin, Dublin, Ireland","Wellola is a connects clinics & their own clients, anywhere, anytime.","50,148",2016-01-01,year,,"Gregory Martin, Sonia Neary",Private,"51,473",,2023-12-22,4,Seed,2200000,EUR,2425747,Seed,3701757,USD,3701757,2200000,EUR,2425747,Seed,3380500,EUR,3698958,"Enterprise Ireland, Elkstone Capital Partners, Business Venture Partners, Spark Crowdfunding, Bay Advisory",5,"Financial Services, Health Care, Information Technology, Payments, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.wellola.com/,https://www.linkedin.com/company/wellolasoftware/,info@wellola.com,11-50
Vawlt,https://www.crunchbase.com/organization/vawlt-technologies,Growing,,"Vawlt is a dynamic storage platform that simplifies the operation of multiple clouds while improving data security standards. The company is working in several technologies related to data security because we believe everyone is entitled to control and decide the destiny of their own data, and companies should be more responsible in handling such valuable, and personal, assets. Vawlt is a start-up from Lisbon, Portugal, founded by researchers from a very prolific R&D group - LASIGE - within the University of Lisbon.",,Cloud Storage,"Lisbon, Lisboa, Portugal",Vawlt is a dynamic storage platform that simplifies the operation of multiple clouds while improving data security standards.,"50,175",2018-02-01,month,,"Alain Fiocco, Alysson Bessani, Bruno Santos Amaro, Ricardo Mendes, Tiago Oliveira",Private,"51,490",,2024-03-12,3,Seed,2150000,EUR,2349213,Seed,2975000,EUR,3323443,2150000,EUR,2349213,Seed,2975000,EUR,3323443,"Lince Capital, Shilling, Armilar Venture Partners, Basinghall Partners, Beta Capital",7,Internet Services,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://vawlt.io,https://www.linkedin.com/company/vawlt/,info@vawlt.io,1-10
Estuaire,https://www.crunchbase.com/organization/estuaire,,75116,"Estuaire It seeks to strengthen the aviation sector by lessening its negative environmental effects. Their data firm is investigating all aspects of aviation pollution, such as CO2 emissions, NOx emissions, contrails, and aircraft production. Actionable indicators are provided to airlines, lessors, and carbon calculators to lessen the impact of air travel.",,"Aerospace, GreenTech","Paris, Ile-de-France, France",Estuaire aims to empower the aviation industry by reducing its environmental impact.,"50,191",2022-12-02,day,,"Maxime Meijers, Nicolas Meijers",Private,"51,507",,2024-06-25,2,Seed,2200000,EUR,2361655,Seed,2230000,EUR,2393811,2200000,EUR,2361655,Seed,2200000,EUR,2361655,"XAnge, AFI Ventures, Satgana, Safran Corporate Ventures",4,"Science and Engineering, Sustainability",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://estuaire.dev,https://www.linkedin.com/company/estuaire-company/,contact@estuaire.dev,1-10
FundaMental Pharma,https://www.crunchbase.com/organization/fundamental-pharma,Growing,,FundaMental Pharma is a neuroscience company with a portfolio at the preclinical stage.,,Health Care,"Heidelberg, Baden-Wurttemberg, Germany",FundaMental Pharma is a neuroscience company with a portfolio at the preclinical stage.,"50,327",2016-01-01,year,,,Private,"51,644",,2024-04-11,2,Seed,2700000,EUR,2896048,Seed,12700000,EUR,13257207,2700000,EUR,2896048,Seed,12700000,EUR,13257207,"Novartis Venture Fund, HTGF | High-Tech Gruenderfonds, coparion, Thuja Capital, BioGeneration Ventures",5,Health Care,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://fundamentalpharma.com/,https://www.linkedin.com/company/fundamental-pharma/,,1-10
Hybr,https://www.crunchbase.com/organization/hybr,,W1W 8HF,"Hybr is a student-letting platform. They offer all types of accommodation options for all types of students and budgets. It also helps students find houses, house shares, and any relevant services they need.",,"Property Management, Rental Property","London, England, United Kingdom",Hybr is a student accommodation platform.,"50,396",2019-11-01,month,,Hannah Chappatte,Private,"51,714",,2023-11-27,2,Seed,3240000,GBP,4093659,Seed,4160000,GBP,5254388,3240000,GBP,4093659,Seed,4160000,GBP,5254388,"Adjuvo, BlackWood Ventures, Alec Dent, Hannah Rothschild, Evelyn Bourke",7,Real Estate,,"Europe, Middle East, and Africa (EMEA)",https://www.hybr.co.uk,https://www.linkedin.com/company/hybrnate/,hello@hybr.co.uk,11-50
HEPHAISTOS-Pharma,https://www.crunchbase.com/organization/hephaistos-pharma,Growing,91400,"Hephaistos Pharma is a developing weapons firm. They provide services for oncology, immunotherapy, and cancer. An online inquiry form is available on the company's website.",,"Biotechnology, Oncology","Orsay, Ile-de-France, France",Hephaistos Pharma is a biotech company developing oncology treatments.,"50,482",2018-01-01,year,,Martine Caroff,Private,"51,801",,2024-01-23,4,Seed,4500000,EUR,4885898,Seed,7071429,EUR,7612390,4500000,EUR,4885898,Seed,4500000,EUR,4885898,"Bpifrance, EIC Accelerator, EASME - EU Executive Agency for SMEs, Meusinvest (Noshaq), Elaia",10,"Biotechnology, Health Care, Science and Engineering",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://hephaistos-pharma.fr/,https://www.linkedin.com/company/hephaistos-pharma/,,1-10
Behavio,https://www.crunchbase.com/organization/behavio-5eae,,17000,"Behavio is a SaaS platform that provides behavioral insights on how to maximize advertising performance. It is developed by Behavio Labs, a tech and research company that focuses on customers' subconscious thoughts and motivations. The company is headquartered in Prague, Czech Republic, its North American division is located in San Francisco.",,"Business Intelligence, Consumer Research, Data Visualization, Market Research, Neuroscience, Software","Prague, Hlavni mesto Praha, Czech Republic",Behavio is a SaaS platform that provides behavioral insights on how to maximize advertising performance.,"50,707",2015-08-19,day,,Marek Nebesář,Private,"52,038",,2024-05-20,3,Seed,2250000,EUR,2443570,Seed,2250000,EUR,2443570,2250000,EUR,2443570,Seed,2250000,EUR,2443570,"Presto Ventures, Airbridge Equity Partners, J&T Ventures, Vaclav Dejcmar",4,"Biotechnology, Data and Analytics, Design, Information Technology, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://behaviolabs.com/,https://www.linkedin.com/company/behavio-labs/,info@behaviolabs.com,11-50
Estaly,https://www.crunchbase.com/organization/estaly,,,Estaly provides insurance products and services for online businesses.,,"Commercial Insurance, Financial Services, Insurance","Paris, Ile-de-France, France",Estaly provides insurance products and services for online businesses.,"50,902",2022-01-01,year,,,Private,"52,234",,2024-04-23,2,Seed,3600000,EUR,3852847,Seed,3600000,EUR,3852847,3600000,EUR,3852847,Seed,3600000,EUR,3852847,"OneRagtime, CDG Invest, Khalid Zitouni",3,Financial Services,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.estaly.co,https://www.linkedin.com/company/estaly,careers@estaly.co,11-50
EpilepsyGTx,https://www.crunchbase.com/organization/epilepsygtx,,CB25 9PD,EpilepsyGTx is a late-stage biotech company exploring cutting-edge gene therapies to improve the management of focal refractory epilepsy (FRE).,,Biotechnology,"Cambridge, Cambridgeshire, United Kingdom",EpilepsyGTx is a late-stage biotech company exploring cutting-edge gene therapies to improve the management of focal refractory epilepsy.,"50,961",2021-01-01,year,,,Private,"52,294",,2024-06-24,1,Seed,10000000,USD,10000000,Seed,10000000,USD,10000000,10000000,USD,10000000,Seed,10000000,USD,10000000,"UCL Technology Fund, HTH",2,"Biotechnology, Science and Engineering",,"Europe, Middle East, and Africa (EMEA)",https://www.epilepsygtx.com/,https://www.linkedin.com/company/epilepsygtx/,info@epilepsygtx.com,1-10
Abanza Tecnomed,https://www.crunchbase.com/organization/abanza-tecnomed,,31192,"Abanza Tecnomed provides research and development of instruments and medical devices specialized in biomedical innovation in the field of sports medicine. Abanza Tecnomed is a research and development company of medical instruments and devices, specialized in biomedical innovation in the field of Sports Medicine. With the commitment to develop and offer the latest generation devices to facilitate the work of medical professionals, ABANZA Tecnomed has a multidisciplinary and highly qualified R&D&I team that guarantees the quality of innovations, and a first-class medical advisory board that certifies the precision and safety of the instruments developed.",,"Biotechnology, Medical, Medical Device, Product Research","Mutilva Alta, Navarra, Spain",Abanza Tecnomed provides research and development of instruments and medical devices specialized in biomedical innovation.,"50,995",2014-01-01,year,,Juan Abascal Azanza,Private,"52,328",,2024-09-04,3,Seed,5000000,USD,5000000,Seed,6282941,USD,6282941,5000000,USD,5000000,Seed,6200000,USD,6200000,"EASME - EU Executive Agency for SMEs, Clave, SODENA",3,"Biotechnology, Data and Analytics, Design, Health Care, Science and Engineering",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",http://abanzamed.com/,https://in.linkedin.com/company/abanza-tecnomed,contact@abanzamed.com,11-50
ai-omatic solutions,https://www.crunchbase.com/organization/ai-omatic-solutions,Growing,20354,"ai-omatic is a deep-tech startup that offers a cloud-based software solution in the field of predictive maintenance that evaluates and visualizes sensor data from machines. ai-omatic's product is a digital maintenance assistant that detects unfavorable machine behavior before it becomes a problem. As a result, unplanned machine downtime can be avoided, maintenance effort can be reduced and plant availability can be increased. Due to the high scalability of the algorithm, the solution can be used for a wide range of use cases and industries.",,Software,"Hamburg, Hamburg, Germany",AI-omatic solutions develop a digital maintenance assistant that transfers an engineer's expert knowledge to an AI system.,"51,161",2020-01-01,year,,"Dario Ramming, Felix Kraft, Lena Weirauch",Private,"52,500",,2024-01-11,3,Seed,2000000,EUR,2196489,Seed,2996489,USD,2996489,2000000,EUR,2196489,Seed,2996489,USD,2996489,"IFB Innovationsstarter, Haufe Group Ventures, EIT - European Institute of Innovation and Technology, Innovationsstarter Fonds, 4Tree Capital",6,Software,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.ai-omatic.com,https://de.linkedin.com/company/ai-omatic-solutions-gmbh,info@ai-omatic.com,11-50
LEVY Health,https://www.crunchbase.com/organization/levy-health,,10115,"LEVY Health is a clinical decision support software for endocrine disorders, recommending ICD-10 diagnosis & individual therapeutic strategies. Based on clinical guidelines and its proprietary algorithm, LEVY is able to reduce time to diagnosis from an average of 4.5 years to just a few weeks.",,"Biotechnology, Fertility, Health Care, Health Diagnostics, Medical, Software","Berlin, Berlin, Germany","The LEVY Fertility Code is a clinical decision support software for endocrine disorders, empowering clinicians to diagnose women faster.","51,172",2020-02-01,month,,,Private,"52,523",,2024-10-09,4,Seed,4500000,USD,4500000,Seed,8160245,USD,8160245,4500000,USD,4500000,Seed,8160245,USD,8160245,"Google for Startups, XYZ Venture Capital, Possible Ventures, Calm/Storm Ventures, Atlantic Labs",10,"Biotechnology, Health Care, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.levy.health/en/us,https://de.linkedin.com/company/levy-health,hello@levy.health,11-50
Woola,https://www.crunchbase.com/organization/woola-cd5b,,,"Woola uses leftover sheep wool to replace bubble wrap. These wool-based packages can be reused, repurposed, or returned by the end user, with the ultimate goal of making the solution “closed-loop” so nothing goes to waste.",,"Packaging Services, Waste Management","Tallinn, Harjumaa, Estonia",Woola uses leftover sheep wool to replace bubble wrap.,"51,708",2019-01-01,year,,,Private,"53,059",,2023-12-13,4,Seed,2500000,EUR,2720662,Seed,5450000,EUR,6091209,2500000,EUR,2720662,Seed,5450000,EUR,6091209,"Metaplanet, LVMH, Future Ventures, Lemonade Stand, Ragnar Sass",14,"Administrative Services, Sustainability",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.woola.io/,https://www.linkedin.com/company/woolapackaging/,,11-50
Role Mapper Technologies,https://www.crunchbase.com/organization/role-mapper-technologies,,EX5 2FN,"Role Mapper Technologies is an HR Technology company that assists businesses in designing and structuring jobs to improve diversity and skills-based hiring. The platform assists HR leaders in redesigning and simplifying organizational job structures in order to prepare for new and future modes of operation. This includes hiring based on skills, as well as hybrid and flexible working arrangements.",,Software,"Exeter, Devon, United Kingdom",Role Mapper Technologies provides a talent management platform that design and create great job descriptions to increase hiring diversity.,"51,780",2020-01-01,year,,,Private,"53,133",,2023-12-20,3,Seed,2100000,GBP,2654243,Seed,4800000,GBP,5999236,2100000,GBP,2654243,Seed,4800000,GBP,5999236,"Mercia Fund Managers, The FSE Group, QantX",3,Software,,"Europe, Middle East, and Africa (EMEA)",https://www.rolemapper.tech,https://www.linkedin.com/company/rolemappertech/,enquiries@rolemapper.tech,11-50
Chipmetrics,https://www.crunchbase.com/organization/chipmetrics,Growing,80110,"Test chip, test elements and test wafer business concept builder for advanced materials and microelectronics manufacturing.  Expert in thin film conformality characterization. Mission is to accelerate applications of conformal 3D thin films. Main product line: PillarHall test chips.",,"Electronics, Manufacturing","Joensuu, Eastern Finland, Finland","Nanotechnology, metrology","51,782",2019-11-24,day,,Mikko Utriainen,Private,"53,149",,2024-01-24,3,Seed,2400000,EUR,2611512,Seed,2400000,EUR,2611512,2400000,EUR,2611512,Seed,2400000,EUR,2611512,"Redstone.VC, HTGF | High-Tech Gruenderfonds, Innovestor, OCCIDENT",4,"Consumer Electronics, Hardware, Manufacturing",,"European Union (EU), Nordic Countries, Scandinavia",https://chipmetrics.com/,https://www.linkedin.com/company/chipmetrics/about/,info@chipmetrics.com,1-10
LoopFX,https://www.crunchbase.com/organization/loopfx,,,"LoopFX, banks and asset managers may match sizable offset trades at a mid-market rate with no information leakage. Asset managers partner with industry-leading solutions like FX Connect to integrate LoopFX into their current operations.",,"FinTech, Peer to Peer","London, England, United Kingdom",LoopFX is leading the way in foreign exchange with a novel protocol.,"51,944",2020-01-01,year,,,Private,"53,317",,2024-06-25,1,Seed,2600000,GBP,3301872,Seed,2600000,GBP,3301872,2600000,GBP,3301872,Seed,2600000,GBP,3301872,Augmentum Fintech,1,"Financial Services, Other",,"Europe, Middle East, and Africa (EMEA)",https://www.theloopfx.com,https://www.linkedin.com/company/loopfx,,11-50
Klineo,https://www.crunchbase.com/organization/klineo,Growing,,"Klineo is a platform that provides an intuitive and intelligent clinical trial search for oncology patients and doctors. The Klineo platform offers two interfaces for healthcare professionals and patients, allowing users to search for trials and contact centers.",,"Clinical Trials, Health Care, Hospital","Paris, Ile-de-France, France",Klineo is a platform that provides an intuitive and intelligent clinical trial search for oncology patients and doctors.,"51,972",2021-01-01,year,,"Nicolas Drizard, Soha Tohidi, Thomas Peyresblanques",Private,"53,328",,2024-04-29,1,Seed,2000000,EUR,2142899,Seed,2000000,EUR,2142899,2000000,EUR,2142899,Seed,2000000,EUR,2142899,Bpifrance,1,Health Care,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.klineo.fr,https://www.linkedin.com/company/klineosa,info@klineo.fr,1-10
Decent Land Labs,https://www.crunchbase.com/organization/decent-land,,,"At Decent Land Labs we believe in radical composability for web3. The future is multichain but a multitude of walled gardens is no improvement to the web2 models we're trying to escape. The ultimate outcome for the new web is a pool of easily accessible, sampleable and remixable data that can power permanent applications without sacrificing UX. At Decent Land Labs, we are building tools to unify and liberate your on-chain data",,"Blockchain, Enterprise Software, Web3, WebOS","London, England, United Kingdom",Building interoperability for web3 adoption,"52,273",2021-01-01,month,,,Private,"53,635",,2024-06-21,2,Seed,3000000,USD,3000000,Seed,3000000,USD,3000000,3000000,USD,3000000,Seed,3000000,USD,3000000,"Foresight Ventures, LongHash Ventures, Big Brain Holdings, LD Capital, 4SV",8,"Blockchain and Cryptocurrency, Internet Services, Other, Platforms, Software",,"Europe, Middle East, and Africa (EMEA)",https://decent.land/,https://www.linkedin.com/company/decent-land-labs/,info@decent.land,1-10
Full Venue,https://www.crunchbase.com/organization/full-venue,Growing,,"Sports and Events organizations generate a huge amount of data, but how can we use it to give a personalized experience to convert more sales? Our solution: Full Venue is an AI platform that can predict the exact likelihood of a fan to make purchases, like tickets to events, merchandise and other products at an accuracy of up to 95%. Full Venue allows organizations to segment their audience and target marketing spend on those most likely to convert.",,"Artificial Intelligence (AI), Marketing Automation, Predictive Analytics","Porto, Lisboa, Portugal","The AI platform that predicts the customer's likelihood to buy a product, increasing sales through high-propensity buying audiences","52,274",2020-08-10,day,,,Private,"53,636",,2024-01-09,2,Seed,2000000,EUR,2186354,Seed,2000000,EUR,2186354,2000000,EUR,2186354,Seed,2000000,EUR,2186354,"Startupbootcamp Australia, GED Ventures Portugal, Fernando Reani, Pedro Aguiar, Tiago Monteiro",7,"Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://fullvenue.ai/,https://www.linkedin.com/company/fullvenueai/,hello@fullvenue.ai,1-10
Voidless,https://www.crunchbase.com/organization/voidless,Growing,20016,Voidless is a producer of corrugated cardboard packing machines. They offer a box-on-demand system that allows for enormous cost savings and numerous benefits made possible by its radically experimental method. Their objective is to solve the e-commerce industry's overpackaging problem.,,"Logistics, PaaS, Packaging Services, Robotics","Milano, Lombardia, Italy",Voidless provides an on-demand packaging system with a concentration on extensibility and adaptability.,"52,485",2022-07-15,day,,,Private,"53,850",,2024-02-06,2,Seed,2200000,EUR,2366563,Seed,2800000,EUR,2971402,2200000,EUR,2366563,Seed,2800000,EUR,2971402,"CDP Venture Capital, 360 Capital",2,"Administrative Services, Hardware, Science and Engineering, Software, Transportation",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.voidless-packaging.com/,https://www.linkedin.com/company/voidless/,info@voidless-packaging.com,1-10
